year,city,global_avg_temp,local_avg_temp,Global Moving average,Pune Moving average
1796,Pune,8.27,24.39,#N/A,#N/A
1797,Pune,8.51,25.17,#N/A,#N/A
1798,Pune,8.67,24.05,#N/A,#N/A
1799,Pune,8.51,24.68,#N/A,#N/A
1800,Pune,8.48,24.67,#N/A,#N/A
1801,Pune,8.59,23.94,#N/A,#N/A
1802,Pune,8.58,25.18,8.515714286,24.58285714
1803,Pune,8.5,24.95,8.548571429,24.66285714
1804,Pune,8.84,25.33,8.595714286,24.68571429
1805,Pune,8.56,24.8,8.58,24.79285714
1806,Pune,8.43,24.68,8.568571429,24.79285714
1807,Pune,8.28,24,8.54,24.69714286
1808,Pune,7.63,,8.402857143,24.82333333
1809,Pune,7.08,,8.188571429,24.752
1810,Pune,6.92,,7.962857143,24.7025
1811,Pune,6.86,,7.68,24.49333333
1812,Pune,7.05,,7.464285714,24.34
1813,Pune,7.74,24.03,7.365714286,24.015
1814,Pune,7.59,23.49,7.267142857,23.76
1815,Pune,7.24,23.58,7.211428571,23.7
1816,Pune,6.94,23.13,7.191428571,23.5575
1817,Pune,6.98,23.37,7.2,23.52
1818,Pune,7.83,23.8,7.338571429,23.56666667
1819,Pune,7.37,23.54,7.384285714,23.56285714
1820,Pune,7.62,23.67,7.367142857,23.51142857
1821,Pune,8.09,24.24,7.438571429,23.61857143
1822,Pune,8.19,24.25,7.574285714,23.71428571
1823,Pune,7.72,24.28,7.685714286,23.87857143
1824,Pune,8.55,24.84,7.91,24.08857143
1825,Pune,8.39,24.54,7.99,24.19428571
1826,Pune,8.36,24.64,8.131428571,24.35142857
1827,Pune,8.81,24.64,8.301428571,24.49
1828,Pune,8.17,24.4,8.312857143,24.51285714
1829,Pune,7.94,24.23,8.277142857,24.51
1830,Pune,8.52,24.36,8.391428571,24.52142857
1831,Pune,7.64,24.08,8.261428571,24.41285714
1832,Pune,7.45,24.29,8.127142857,24.37714286
1833,Pune,8.01,24.29,8.077142857,24.32714286
1834,Pune,8.15,24.36,7.982857143,24.28714286
1835,Pune,7.39,23.56,7.871428571,24.16714286
1836,Pune,7.7,23.96,7.837142857,24.12857143
1837,Pune,7.38,23.92,7.674285714,24.06571429
1838,Pune,7.51,23.99,7.655714286,24.05285714
1839,Pune,7.63,24.04,7.681428571,24.01714286
1840,Pune,7.8,24.12,7.651428571,23.99285714
1841,Pune,7.69,23.87,7.585714286,23.92285714
1842,Pune,8.02,24.18,7.675714286,24.01142857
1843,Pune,8.17,23.92,7.742857143,24.00571429
1844,Pune,7.65,23.88,7.781428571,24
1845,Pune,7.85,24.17,7.83,24.02571429
1846,Pune,8.55,24.69,7.961428571,24.11857143
1847,Pune,8.09,24.15,8.002857143,24.12285714
1848,Pune,7.98,24.15,8.044285714,24.16285714
1849,Pune,7.98,24.07,8.038571429,24.14714286
1850,Pune,7.9,24.23,8,24.19142857
1851,Pune,8.18,24.16,8.075714286,24.23142857
1852,Pune,8.1,24.2,8.111428571,24.23571429
1853,Pune,8.04,24.41,8.038571429,24.19571429
1854,Pune,8.21,24.53,8.055714286,24.25
1855,Pune,8.11,24.55,8.074285714,24.30714286
1856,Pune,8,24.04,8.077142857,24.30285714
1857,Pune,7.76,23.69,8.057142857,24.22571429
1858,Pune,8.1,24.35,8.045714286,24.25285714
1859,Pune,8.25,24.41,8.067142857,24.28285714
1860,Pune,7.96,24.19,8.055714286,24.25142857
1861,Pune,7.85,24.06,8.004285714,24.18428571
1862,Pune,7.56,21.86,7.925714286,23.8
1863,Pune,8.11,,7.941428571,23.76
1864,Pune,7.98,,7.972857143,23.774
1865,Pune,8.18,24.64,7.984285714,23.832
1866,Pune,8.29,24.65,7.99,23.88
1867,Pune,8.44,24.69,8.058571429,23.98
1868,Pune,8.25,24.61,8.115714286,24.09
1869,Pune,8.43,24.66,8.24,24.65
1870,Pune,8.2,24.28,8.252857143,24.58833333
1871,Pune,8.12,24.31,8.272857143,24.54857143
1872,Pune,8.19,24.32,8.274285714,24.50285714
1873,Pune,8.35,24.4,8.282857143,24.46714286
1874,Pune,8.43,24.42,8.281428571,24.42857143
1875,Pune,7.86,24.49,8.225714286,24.41142857
1876,Pune,8.08,24.89,8.175714286,24.44428571
1877,Pune,8.54,25.13,8.224285714,24.56571429
1878,Pune,8.83,25.07,8.325714286,24.67428571
1879,Pune,8.17,24.03,8.322857143,24.63285714
1880,Pune,8.12,24.57,8.29,24.65714286
1881,Pune,8.27,24.51,8.267142857,24.67
1882,Pune,8.13,24.29,8.305714286,24.64142857
1883,Pune,7.98,23.89,8.291428571,24.49857143
1884,Pune,7.77,23.94,8.181428571,24.32857143
1885,Pune,7.92,24.34,8.051428571,24.22428571
